song_name,song_popularity,song_duration_ms,song_danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Sunshine Of Your Love,71,250400,0.683,0.594,2,-8.289,1,0.0347,0.385,8.61E-05,0.121,0.734,115.099,4
Perfect Strangers,66,328426,0.521,0.721,2,-7.699,1,0.0254,0.00348,0.0113,0.391,0.611,97.578,4
2 Minutes to Midnight - 2015 Remaster,66,363586,0.446,0.97,9,-5.004,0,0.0508,0.00754,0.000275,0.199,0.595,94.233,4
Hey Joe,70,210160,0.346,0.768,9,-5.695,1,0.0377,0.00603,0.38,0.0244,0.532,169.492,4
No More Tears,68,443240,0.346,0.749,6,-6.506,1,0.035,0.00167,8.86E-05,0.648,0.315,102.591,4
Drive - 2017 Remaster,70,234332,0.261,0.703,6,-7.871,1,0.0414,0.115,0.00078,0.102,0.405,83.495,4
Square Hammer,66,239293,0.53,0.903,2,-4.396,0,0.0483,3.31E-05,0.182,0.259,0.747,129.983,4
Nights In White Satin - Single Version / Mono,68,269106,0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,4
Won't Get Fooled Again - Original Album Version,67,511400,0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027,4
Kiss The Go-Goat,71,195693,0.469,0.851,10,-4.147,1,0.0547,0.000213,7.86E-06,0.154,0.549,130.053,4
Dude (Looks Like A Lady),71,265773,0.54,0.982,4,-2.962,0,0.0458,0.435,3.37E-05,0.0457,0.91,126.294,4
Mr. Crowley,66,302647,0.307,0.748,2,-6.514,0,0.0568,0.212,0.000153,0.368,0.347,108.227,4
Take It On the Run,68,239680,0.371,0.758,7,-5.679,1,0.036,0.0958,0,0.116,0.452,77.81,4
Hard To Handle,72,188066,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,4
Listen to the Music,76,227266,0.645,0.598,1,-13.18,0,0.0335,0.221,3.53E-06,0.0721,0.913,105.929,4
Sharp Dressed Man - 2008 Remaster,73,258026,0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,4
Moneytalks,67,225946,0.649,0.903,7,-3.677,1,0.0318,0.000841,0.000351,0.122,0.412,121.841,4
For Those About to Rock (We Salute You),67,344240,0.37,0.919,4,-5.721,1,0.102,0.000376,0.419,0.49,0.471,134.021,4
The Joker,74,264503,0.596,0.448,5,-9.616,1,0.0396,0.365,5.30E-06,0.206,0.796,83.293,4
Jump Around - 30 Years Remaster,74,218546,0.811,0.823,4,-5.921,0,0.0423,0.0553,4.52E-06,0.158,0.827,106.929,4
Don't Stop Believin',72,248906,0.491,0.802,4,-7.106,1,0.0392,0.25,0,0.387,0.472,119.25,4
Hate To Say I Told You So,69,200693,0.459,0.931,5,-5.024,1,0.0612,0.00126,0.00881,0.412,0.419,135.826,4
I'd Love to Change the World - 2004 Remaster,67,224133,0.383,0.516,9,-12.032,0,0.0344,0.202,0.193,0.114,0.371,118.144,4
Figure It Out,67,183602,0.658,0.814,0,-4.631,1,0.0558,0.229,0.00676,0.216,0.69,108.016,4
D'yer Mak'er - Remaster,66,262748,0.525,0.929,9,-8.56,0,0.0784,0.262,2.90E-05,0.0754,0.556,163.503,4
Heaven's On Fire,68,201400,0.679,0.866,0,-6.053,1,0.0635,0.00376,3.10E-05,0.312,0.785,124.324,4
Since You Been Gone,68,197160,0.733,0.726,7,-6.514,1,0.0371,0.379,2.58E-06,0.471,0.915,120.814,4
For Those About to Rock (We Salute You),67,344240,0.37,0.919,4,-5.721,1,0.102,0.000376,0.419,0.49,0.471,134.021,4
Any Way You Want It,73,201693,0.529,0.932,7,-7.501,1,0.0488,0.00251,0.00109,0.136,0.571,138.158,4
Faithfully,68,267080,0.202,0.644,11,-5.212,1,0.0324,0.0979,0,0.109,0.252,85.04,5
Dragula,76,222826,0.591,0.963,0,-6.489,0,0.0531,8.74E-05,0.000107,0.0781,0.609,125.03,4
Who Made Who,66,207146,0.514,0.825,0,-5.135,1,0.0487,0.000286,0.293,0.607,0.655,125.274,4
Interstate Love Song - 2019 Remaster,73,194853,0.215,0.927,9,-7.327,1,0.0452,0.000273,0.00661,0.126,0.49,170.814,4
Black Betty,72,238973,0.465,0.907,11,-6.404,0,0.113,0.0241,0.00118,0.13,0.681,117.293,4
Looking Down the Barrel of Today,70,161626,0.486,0.986,1,-4.71,1,0.0818,0.000662,0.048,0.29,0.501,180.085,4
Peace of Mind,68,303586,0.419,0.677,4,-6.183,1,0.0343,0.00101,9.99E-05,0.211,0.684,127.678,4
Rooster (2022 Remaster),71,374333,0.271,0.551,3,-8.46,1,0.0272,0.0307,0.000581,0.118,0.2,143.899,3
Photograph,68,247962,0.602,0.877,4,-6.606,1,0.0515,0.000343,0.635,0.0551,0.617,123.679,4
Slow Ride,69,232533,0.493,0.586,2,-13.916,1,0.046,0.0202,0.00106,0.102,0.656,113.618,4
Cum on Feel the Noize,72,290960,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,4
Cold as Ice,70,200213,0.562,0.609,3,-7.063,0,0.0271,0.0264,0,0.17,0.512,130.753,4
School's Out,69,210106,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,4
Them Bones (2022 Remaster),69,149466,0.159,0.946,9,-5.756,1,0.0629,0.0235,8.06E-06,0.387,0.309,165.014,1
Nothin' But A Good Time - Remastered 2006,69,224866,0.576,0.974,1,-2.785,1,0.0828,0.0202,0,0.348,0.531,129.088,4
Heat Of The Moment,72,227893,0.306,0.86,1,-7.371,1,0.0534,0.204,0.000146,0.369,0.541,136.265,4
Heat Above,67,341255,0.338,0.847,3,-3.692,1,0.0458,0.00881,0.00105,0.147,0.232,139.061,4
Eyes Without A Face,72,299240,0.391,0.815,9,-6.197,1,0.0518,0.0177,0.00226,0.276,0.647,84.383,4
Long Train Runnin',72,207266,0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,4
Black Smoke Rising,68,259893,0.558,0.902,7,-4.018,1,0.0464,0.197,0.000148,0.0852,0.572,100.027,4
Babe,67,265973,0.267,0.204,2,-13.714,1,0.0317,0.527,0,0.0924,0.0903,169.486,4
Mississippi Queen,71,151293,0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714,4
Light My Love,67,270887,0.374,0.778,5,-4.466,1,0.0363,0.1,0.199,0.107,0.484,133.85,3
You've Got Another Thing Coming,67,310080,0.519,0.833,6,-6.947,0,0.0496,0.00572,4.33E-06,0.104,0.532,138.225,4
The Flame,66,338800,0.629,0.581,4,-11.856,1,0.027,0.513,2.06E-06,0.0755,0.359,97.074,4
Limelight,67,259839,0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,4
Darkness At The Heart Of My Love,68,298573,0.54,0.719,10,-5.744,1,0.0284,0.00833,0.000158,0.158,0.238,122.043,4
White Wedding - Pt. 1,71,252200,0.673,0.814,9,-5.411,1,0.0367,0.0133,0.00293,0.343,0.728,147.193,4
Midnight Rider,72,180066,0.585,0.532,7,-9.673,1,0.0268,0.209,0.00797,0.227,0.68,94.461,4
Bark at the Moon,67,257120,0.303,0.961,9,-5.333,0,0.243,0.00253,6.20E-05,0.132,0.305,146.591,4
Ain't Talkin' 'Bout Love - 2015 Remaster,68,227800,0.518,0.938,8,-5.964,0,0.0416,0.021,0.000305,0.288,0.71,139.138,4
Fell On Black Days,68,283026,0.574,0.739,4,-5.745,0,0.0271,0.00152,0.000328,0.141,0.514,101.069,3
Centerfold,74,216533,0.653,0.677,0,-12.244,1,0.0396,0.249,0,0.403,0.888,114.37,4
Runnin' with the Devil - 2015 Remaster,70,214960,0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826,4
Surrender,69,253733,0.524,0.955,0,-7.081,1,0.0411,0.00717,8.77E-06,0.659,0.869,133.849,4
Just What I Needed,71,225626,0.619,0.579,4,-9.307,1,0.0473,0.0152,6.40E-05,0.0858,0.69,127.224,4
She Sells Sanctuary,71,252533,0.55,0.765,7,-8.684,1,0.0287,4.76E-06,0.873,0.132,0.419,139.46,4
Pinball Wizard,68,180943,0.543,0.715,2,-8.89,1,0.0356,0.0192,0,0.256,0.468,124.011,4
Gimme All Your Lovin',71,241080,0.63,0.788,5,-6.7,1,0.0298,0.00322,0.0237,0.0883,0.63,120.059,4
Drive,67,234493,0.582,0.606,6,-9.961,1,0.0289,0.124,0.00139,0.151,0.504,111.441,5
Night Moves,72,324422,0.705,0.743,1,-6.631,1,0.042,0.432,0.0133,0.103,0.374,118.552,4
Crazy On You,68,293440,0.427,0.459,9,-12.442,0,0.0332,0.116,0.000103,0.132,0.383,129.878,4
Burnin' for You,67,271000,0.532,0.728,9,-9.079,0,0.0352,0.106,0.0108,0.0849,0.69,134.303,4
You Ain't Seen Nothing Yet,72,234866,0.475,0.439,11,-15.039,0,0.0427,0.000146,0.000277,0.223,0.76,118.392,4
Hunger Strike,69,246266,0.373,0.567,7,-10.835,1,0.032,0.0236,3.47E-06,0.0916,0.298,137.789,4
Plush,66,310346,0.423,0.954,7,-3.157,0,0.047,0.0021,0,0.177,0.5,144.553,4
Against The Wind,67,333720,0.674,0.771,7,-5.612,1,0.0246,0.28,0.0318,0.133,0.718,109.618,4
Paradise City,74,405600,0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315,4
Dancing With Myself,69,359733,0.51,0.696,4,-10.83,1,0.0802,0.0157,0.000104,0.297,0.905,176.568,4
Take Me Home Tonight,70,211160,0.608,0.768,1,-9.911,1,0.0364,0.101,1.41E-06,0.0942,0.748,132.699,4
The Spirit Of Radio,66,296466,0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,4
Easy,67,186960,0.506,0.554,10,-6.743,0,0.0339,0.339,0.000355,0.112,0.375,124.724,4
Stillborn,66,196040,0.585,0.881,5,-4.719,0,0.0366,2.27E-05,0.000939,0.376,0.425,107.028,4
Breathe,66,336280,0.673,0.808,9,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,4
Welcome To The Jungle,75,273480,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,4
You Really Got Me - 2015 Remaster,68,156146,0.454,0.946,1,-5.978,0,0.13,0.0223,0,0.173,0.647,138.18,4
Take Me Home Tonight,70,211160,0.608,0.768,1,-9.911,1,0.0364,0.101,1.41E-06,0.0942,0.748,132.699,4
Why Can't This Be Love,66,227693,0.531,0.626,0,-13.371,1,0.0452,0.0606,0,0.0767,0.746,88.236,4
Show Me The Way,68,243266,0.7,0.726,2,-7.717,1,0.0329,0.434,1.10E-06,0.0963,0.641,130.109,4
Safari Song,67,234600,0.362,0.928,2,-4.015,1,0.0503,0.164,1.61E-05,0.315,0.678,175.868,4
You Shook Me All Night Long,66,210880,0.529,0.768,7,-5.51,1,0.0566,0.00224,0.00075,0.297,0.769,127.316,4
Feel like Makin' Love - 2015 Remaster,67,313840,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,4
All The Way Up (feat. Infared),66,191942,0.536,0.721,10,-6.44,0,0.386,0.062,0,0.824,0.393,117.139,5
Transgender,76,184760,0.522,0.914,7,-8.285,1,0.0379,0.000164,0.847,0.24,0.0364,137.939,3
Se Acabo (feat. Method Man) - Remix,72,212293,0.935,0.519,6,-6.482,0,0.31,0.156,0,0.425,0.884,96.97,4
Hypnotize - 2014 Remaster,80,229826,0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,4
X Gon' Give It To Ya,74,217586,0.761,0.899,10,-3.09,0,0.183,0.0135,0,0.0719,0.673,95.027,4
Big Poppa - 2005 Remaster,79,252746,0.78,0.575,9,-7.247,0,0.273,0.43,0,0.143,0.773,84.492,4
Hypnotize - 2007 Remaster,72,230000,0.895,0.694,9,-4.384,1,0.275,0.176,0,0.292,0.632,93.944,4
Crimewave,69,258453,0.746,0.691,4,-7.533,0,0.0403,0.184,0.0259,0.205,0.888,119.982,4
Big Poppa - 2007 Remaster,72,249866,0.765,0.671,9,-5.249,0,0.278,0.344,0,0.0506,0.798,84.5,4
Vanished,69,242960,0.713,0.868,0,-6.644,0,0.0305,0.00206,9.23E-05,0.225,0.641,119.98,4
N.Y. State of Mind,72,293973,0.665,0.91,6,-4.682,0,0.223,0.0394,0,0.227,0.887,84.099,4
Fuck Tha Police,71,345717,0.859,0.75,8,-8.325,0,0.303,0.0193,0,0.0538,0.857,98.691,4
Hail Mary,70,309800,0.696,0.636,10,-6.915,0,0.335,0.158,1.28E-05,0.338,0.358,81.593,4
Lean Back,67,247426,0.783,0.916,1,-3.344,1,0.415,0.11,0,0.0746,0.695,95.321,4
"Shook Ones, Pt. II",76,325506,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,4
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",75,252186,0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,4
Straight Outta Compton,72,258687,0.834,0.878,8,-9.484,1,0.15,0.0461,0,0.334,0.418,102.848,4
Savior,75,242280,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000142,0.425,0.478,112.49,4
Survival of the Fittest,71,224533,0.813,0.703,11,-5.077,0,0.268,0.125,1.26E-06,0.237,0.241,94.828,4
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,75,257399,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.10E-06,0.203,0.904,104.536,4
Juicy - 2005 Remaster,76,302760,0.889,0.818,9,-4.639,1,0.253,0.47,0,0.179,0.782,96.063,4
Where The Hood At,71,286266,0.537,0.948,8,-3.063,1,0.355,0.151,0,0.356,0.792,186.151,4
Suicidal Thoughts - 2005 Remaster,69,170213,0.604,0.501,5,-10.171,0,0.425,0.466,9.09E-06,0.091,0.0956,78.61,4
Boyz-N-The-Hood,69,339893,0.785,0.479,3,-10.247,1,0.362,0.0417,3.50E-05,0.334,0.727,87.691,4
93 'Til Infinity,71,286440,0.59,0.672,1,-11.792,1,0.412,0.125,1.04E-06,0.147,0.688,206.247,4
If I Ruled the World (Imagine That) (feat. Lauryn Hill),70,282373,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43E-06,0.0519,0.523,93.908,4
Who Shot Ya? - 2005 Remaster,67,319360,0.831,0.682,7,-5.697,1,0.238,0.256,0,0.494,0.6,91.771,4
Ruff Ryders' Anthem,70,214440,0.88,0.577,10,-8.093,0,0.302,0.0564,1.02E-06,0.201,0.74,90.991,4
Nas Is Like,67,237026,0.634,0.845,11,-5.058,0,0.352,0.00602,5.29E-06,0.0598,0.929,94,4
Gangsta Nation,67,293053,0.843,0.7,9,-3.249,0,0.26,0.127,0,0.876,0.675,95.05,4
E. Coli (feat. Earl Sweatshirt),72,132147,0.322,0.555,11,-8.726,0,0.129,0.208,0.00437,0.325,0.397,96.019,3
Insane in the Brain,75,208266,0.897,0.611,11,-10.489,1,0.211,0.0291,0.186,0.0894,0.769,102.304,4
Break Ya Neck,69,231240,0.82,0.809,4,-6.759,0,0.251,0.443,0.00175,0.0613,0.737,83.011,4
Notorious Thugs - 2014 Remaster,68,366880,0.704,0.873,11,-4.057,0,0.144,0.121,5.12E-06,0.24,0.742,154.914,4
Party Up,72,268866,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,4
I Know What You Want (feat. Flipmode Squad),70,324306,0.648,0.759,6,-4.315,1,0.306,0.0142,0,0.648,0.518,85.996,4
What's Luv? (feat. Ja-Rule & Ashanti),74,267093,0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19E-05,0.108,0.919,93.955,4
The World Is Yours,68,290573,0.678,0.794,10,-6.186,0,0.14,0.274,1.68E-06,0.124,0.54,87.374,4
Ms. Fat Booty,71,223546,0.782,0.589,1,-4.827,1,0.189,0.148,0,0.164,0.869,90.438,4
Jump Around - 30 Years Remaster,74,218546,0.811,0.823,4,-5.921,0,0.0423,0.0553,4.52E-06,0.158,0.827,106.929,4
Twinz (feat. Fat Joe),67,228173,0.633,0.764,0,-7.212,1,0.323,0.32,3.40E-06,0.234,0.522,94.971,4
Kerosene,67,192000,0.519,0.546,8,-9.368,1,0.0763,0.0827,0,0.133,0.0862,115.799,4
Looking Down the Barrel of Today,70,161626,0.486,0.986,1,-4.71,1,0.0818,0.000662,0.048,0.29,0.501,180.085,4
Party and Bullshit - 2008 Remaster,68,217000,0.433,0.862,1,-3.89,0,0.412,0.193,0,0.604,0.722,200.817,4
Gimme the Loot - 2005 Remaster,67,285946,0.721,0.662,7,-8.136,1,0.403,0.0888,0,0.178,0.68,94.191,4
Da Rockwilder,69,136093,0.612,0.659,6,-6.995,0,0.406,0.0137,0,0.417,0.393,99.137,4
Hell on Earth (Front Lines),66,274093,0.875,0.658,0,-3.641,1,0.359,0.275,0,0.122,0.661,92.038,4
Prayer Of The Refugee,66,199386,0.198,0.977,3,-3.499,0,0.173,0.00131,4.62E-05,0.23,0.351,195.795,4
Can I Kick It?,70,251573,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,4
Passin' Me By,70,303493,0.759,0.756,4,-8.145,0,0.266,0.0903,2.36E-06,0.265,0.613,87.059,4
"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)",67,291066,0.817,0.552,8,-10.8,0,0.385,0.0318,7.01E-06,0.826,0.808,102.011,4
"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)",66,216133,0.826,0.566,10,-10.747,0,0.311,0.199,0,0.356,0.655,99.131,4
Breathe,66,336280,0.673,0.808,9,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,4
Hip Hop Hooray,67,267266,0.862,0.642,6,-13.652,0,0.101,0.102,0,0.272,0.765,99.2,4
Shadowboxin',66,209973,0.704,0.642,1,-10.11,1,0.39,0.00704,1.43E-06,0.161,0.72,92.09,4
Shimmy Shimmy Ya,68,161400,0.814,0.481,0,-5.183,1,0.245,0.097,3.83E-05,0.0495,0.193,96.252,4
Still Not a Player (feat. Joe) - Radio Version,71,236800,0.9,0.619,4,-6.518,0,0.312,0.203,0.00156,0.0647,0.864,94.121,4
Until the Day I Die,66,235200,0.597,0.931,11,-4.591,0,0.0984,0.127,0,0.0504,0.534,92.003,4
Work,66,177666,0.787,0.832,10,-4.671,1,0.301,0.0347,0,0.0593,0.814,92.606,4
Satellite,68,238573,0.387,0.94,5,-4.16,0,0.0528,0.00369,0,0.0759,0.444,134.876,4
Walk This Way (feat. Aerosmith),70,310386,0.761,0.711,9,-7.989,1,0.0604,0.0174,0.000101,0.0652,0.947,105.448,4
Electric Relaxation,68,226133,0.866,0.534,11,-9.201,1,0.229,0.184,0.266,0.0929,0.841,98.243,4
Mind Playing Tricks on Me,67,308733,0.886,0.512,10,-11.825,0,0.237,0.207,0,0.0991,0.454,93.997,4
The Taste of Ink,67,208693,0.541,0.904,7,-3.001,1,0.0435,0.00143,0,0.193,0.541,98.122,4
Paradise,70,194921,0.319,0.861,5,-4.11,1,0.0544,0.0368,7.48E-05,0.252,0.202,149.652,4
Summer High,83,177391,0.86,0.541,1,-6.51,0,0.0325,0.165,0.163,0.0663,0.952,114.984,4
No Love,83,170387,0.768,0.487,4,-8.936,0,0.0431,0.24,0,0.175,0.722,137.034,4
Baller,82,148188,0.711,0.702,5,-10.048,1,0.233,0.00487,0.0163,0.0932,0.674,180.219,4
Insane,77,206060,0.796,0.572,8,-7.03,0,0.0545,0.416,2.55E-05,0.0975,0.304,98.967,4
STAY (with Justin Bieber),89,141805,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
Daku,75,131077,0.847,0.558,8,-5.855,0,0.0663,0.325,0,0.135,0.495,98.062,4
Dil Nu,71,233666,0.811,0.655,1,-7.118,0,0.0353,0.0947,1.63E-06,0.068,0.925,117.979,4
All Night (Live),71,229510,0.723,0.456,4,-7.679,0,0.0359,0.137,2.95E-05,0.081,0.0383,101.139,4
Elevated,76,200658,0.828,0.533,6,-5.779,0,0.091,0.214,2.80E-05,0.307,0.605,93.021,4
Wo Noor,72,199420,0.761,0.554,1,-8.119,0,0.0854,0.193,0.00844,0.0802,0.555,92.52,4
Excuses,82,176232,0.837,0.717,5,-7.749,0,0.0822,0.0842,0,0.149,0.494,94.984,4
We Rollin,79,199205,0.82,0.504,4,-9.113,0,0.141,0.261,7.00E-06,0.104,0.275,85.016,4
OOPS,75,163200,0.918,0.673,0,-5.084,1,0.184,0.314,0,0.0555,0.828,99.952,4
Cold Hours,74,206117,0.737,0.613,1,-7.304,0,0.358,0.316,1.26E-06,0.343,0.493,170.14,4
Ektarfa,71,230903,0.748,0.472,0,-9.266,0,0.125,0.596,1.10E-05,0.102,0.364,149.97,4
Hope,86,110886,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4
Brown Munde,76,254400,0.854,0.611,8,-6.26,0,0.0864,0.223,0,0.119,0.417,100.024,4
Sakhiyaan,73,179325,0.706,0.674,9,-5.932,1,0.044,0.3,0,0.202,0.359,83.001,4
Kina Chir,72,216026,0.622,0.431,11,-8.26,0,0.0293,0.0955,0,0.088,0.365,117.919,4
TERE TE,75,114418,0.692,0.488,7,-10.96,0,0.135,0.0508,0,0.154,0.299,171.9,4
So High,72,218666,0.538,0.763,11,-6.346,0,0.205,0.0152,0,0.109,0.484,180.002,4
Khaab,72,201689,0.662,0.661,0,-5.689,1,0.0514,0.417,0,0.0784,0.222,80.009,4
Tu Aake Dekhle,81,270000,0.77,0.84,11,-4.022,1,0.107,0.515,0.00452,0.145,0.192,96.012,4
The Last Ride,77,262247,0.792,0.647,10,-5.447,0,0.334,0.0299,0,0.119,0.638,89.029,4
Jugnu,74,230400,0.716,0.803,10,-5.14,0,0.0445,0.03,0,0.0817,0.325,124.961,4
Levels,76,228705,0.592,0.728,2,-6.098,1,0.311,0.00148,0,0.379,0.577,113.17,5
0 to 100,71,108493,0.742,0.675,8,-6.551,1,0.0907,0.139,0,0.167,0.679,145.989,4
DESIRES,76,168000,0.863,0.387,5,-10.057,0,0.256,0.365,0.00238,0.06,0.39,100.013,4
295,78,270000,0.557,0.794,11,-5.698,0,0.2,0.179,0,0.106,0.432,91.366,4
Sheesha,72,160851,0.708,0.672,6,-7.493,0,0.0582,0.322,0,0.135,0.399,93.886,4
"Duniyaa (From ""Luka Chuppi"")",74,222500,0.435,0.658,7,-5.949,0,0.0368,0.699,0,0.125,0.524,77.17,4
SPACESHIP,73,124498,0.69,0.683,5,-7.186,0,0.0968,0.076,0.000113,0.134,0.549,160.088,4
Chidiya,74,253333,0.486,0.494,6,-8.56,1,0.0324,0.715,0,0.109,0.414,179.975,4
Everybody Hurts,72,173333,0.738,0.599,8,-7.102,1,0.0393,0.434,0,0.13,0.575,120.052,5
Saibo,73,195253,0.619,0.429,2,-7.867,1,0.028,0.738,1.35E-05,0.136,0.545,90.058,4
Never Fold (feat. Sunny Malton),74,183225,0.814,0.786,8,-5.178,0,0.232,0.069,0,0.0976,0.797,93.025,4
Vikram - Title Track,74,218823,0.638,0.842,7,-5.305,0,0.0524,0.174,0.000356,0.126,0.145,169.901,4
Rolex Theme - Background Score,72,53247,0.61,0.925,8,-4.01,1,0.114,0.00804,0.767,0.131,0.442,101.992,4
"Bae (From ""Don"")",71,242628,0.697,0.663,6,-7.246,1,0.0486,0.0701,1.04E-05,0.112,0.407,96.968,4
"Manavaalan Thug - From ""Thallumaala""",72,200000,0.809,0.583,1,-8.771,1,0.0605,0.356,0,0.0622,0.478,96.049,4
Lokiverse - Background Score,73,156330,0.64,0.86,7,-4.481,1,0.101,0.302,0.468,0.109,0.516,96.996,4
"Dippam Dappam (From ""Kaathuvaakula Rendu Kaadhal"")",74,209032,0.827,0.717,11,-7.755,0,0.111,0.0908,0.000523,0.0511,0.772,123.987,4
Once Upon a Time,72,143709,0.646,0.879,1,-3.668,1,0.0823,0.00659,0.0607,0.117,0.429,123.849,4
"Private Party (From ""Don"")",71,216774,0.862,0.886,10,-5.423,0,0.123,0.184,1.33E-06,0.0565,0.896,124.031,4
"Pathala Pathala (From ""Vikram"")",74,211384,0.826,0.779,0,-5.609,1,0.375,0.35,0,0.0657,0.936,130.091,4
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",76,279677,0.608,0.757,2,-6.945,1,0.164,0.259,0.00216,0.259,0.625,124.078,4
"Life of Pazham (From ""Thiruchitrambalam"")",72,234514,0.503,0.665,7,-6.302,0,0.0801,0.124,0.000155,0.175,0.597,174.974,3
"Jalabulajangu (From ""Don"")",71,202607,0.635,0.823,7,-5.437,0,0.153,0.0261,0,0.0481,0.457,151.047,4
Bimbilikki Pilapi,71,247000,0.645,0.947,11,-7.239,0,0.238,0.426,2.26E-06,0.463,0.823,156.828,4
Nee Paartha Vizhigal - The Touch of Love,70,264506,0.665,0.596,9,-6.969,0,0.0278,0.293,3.67E-05,0.247,0.644,110.055,4
INDUSTRY BABY (feat. Jack Harlow),86,212000,0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,4
THATS WHAT I WANT,87,143901,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,4
Ma Belle,70,160824,0.908,0.314,0,-9.614,1,0.116,0.0424,4.15E-05,0.0727,0.244,97.011,4
Same Beef,68,290360,0.779,0.854,9,-4.958,1,0.219,0.0462,0,0.21,0.379,91.992,4
Toxic,69,184102,0.802,0.737,9,-4.306,1,0.0432,0.309,0,0.0815,0.577,116.955,4
Maan Meri Jaan,66,194653,0.698,0.505,6,-8.242,0,0.0356,0.354,0,0.0995,0.396,95.868,4
Desi Kalakaar,69,253352,0.751,0.67,0,-4.587,1,0.267,0.0796,0.00018,0.0908,0.766,156.062,4
Saada Pyaar,69,213626,0.743,0.655,7,-5.228,0,0.0866,0.0391,0,0.118,0.164,91.004,4
Everybody Dies In Their Nightmares,85,95466,0.734,0.57,7,-7.066,0,0.133,0.847,2.14E-05,0.112,0.689,129.953,4
BILLIE EILISH.,89,99282,0.9,0.509,1,-6.647,1,0.257,0.115,1.67E-06,0.0937,0.765,100.007,4
Amplifier,70,232906,0.727,0.714,2,-4.494,1,0.0872,0.0209,0,0.153,0.618,164.003,4
See You Again (feat. Charlie Puth),82,229525,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03E-06,0.0649,0.283,80.025,4
Hills,68,159942,0.779,0.331,1,-10.115,1,0.0794,0.411,0.00577,0.11,0.182,96.012,4
3:59 AM,67,272197,0.669,0.588,2,-6.902,1,0.339,0.177,0,0.179,0.237,97.026,4
Love Dose,69,224444,0.843,0.768,11,-4.554,0,0.117,0.256,0,0.614,0.662,139.998,4
Aaya Na Tu,70,210000,0.665,0.539,11,-7.213,0,0.0474,0.825,5.85E-06,0.121,0.368,110.101,4
Offshore,69,172054,0.801,0.346,5,-13.455,0,0.252,0.0468,0.00169,0.112,0.653,159.986,4
Bewafa,71,224853,0.704,0.563,4,-4.739,0,0.0297,0.594,0,0.133,0.0739,94.037,4
Blue Eyes,68,220943,0.77,0.51,10,-5.469,0,0.192,0.137,0.000106,0.0346,0.533,188.067,4
Love Sick (feat. AR Paisley),70,232258,0.824,0.543,4,-8.667,0,0.209,0.101,0,0.178,0.548,124.018,4
Final Thoughts,69,192000,0.691,0.614,4,-8.991,0,0.0534,0.027,0.106,0.158,0.061,77.489,4
