artist_name,album_name,song_name,song_genre
DJ Mox,"Zipfel eini , Zipfel aussi","Zipfel eini , Zipfel aussi",party
Max Weidner,Pack ma's,Schlagerbua,party
Mia Julia;Ikke Hüftgold,Mallorca Style,Wir sind Mallorca,party
Glitzer Gischi,Hupen Heidi,Hupen Heidi,party
Die Flippers,35 Jahre - Ein Leben für die Zärtlichkeit,Nur wer die Sehnsucht kennt,party
Markus Becker,Alle meine Entchen (2022),Alle meine Entchen - 2022,party
Tim Toupet,Knackarsch,Knackarsch - Single Mix,party
Partynator,"Saufen morgens, mittags, abends - Die Party",Mama Laudaaa,party
Harris & Ford;FiNCH,"Freitag, Samstag (Remixes)","Freitag, Samstag",party
Unnormal,Taylor,Taylor,party
minnie rock,Meine Medizin,Meine Medizin,party
voXXclub,Donnawedda (I mog di so - Edition),Spitzenmadl,party
Die 3 Besoffskis,Das Beste,Wir trinken das schäumende Bier,party
DualXess;Stefan von BierKeller;Inked_Princess__,Butzemann,Butzemann,party
Fäaschtbänkler,Bella Ciao,Bella Ciao,party
Michael Wendler,The Very Best Of,Nina,party
Glitzer Gischi,Rätätä Oktoberfest,Rätätä Oktoberfest,party
Brings,Mir sin widder do,Mir sin widder do,party
Tim Toupet;DJ Padre,Humba Täterä (Gebt Mir Ein H vs. DJ Padre),Humba Täterä - Single-Version,party
Bierkapitän,Schere Stein paar Bier (Schnick Schnack Schluck),Schere Stein paar Bier (Schnick Schnack Schluck),party
Ingo ohne Flamingo,"Saufen morgens, mittags, abends (Remix 2018)","Saufen morgens, mittags, abends - Remix 2018",party
Michelle,Ich würd' es wieder tun (Deluxe),Du machst mich süchtig,party
Troglauer,Ey-Oh!,Ey-Oh!,party
Asphalt Anton,Morgenrot,Morgenrot,party
Stereoact;Lena Marie Engel,100%,Hallöchen,party
Michelle;Matthias Reim,Rouge,Idiot,party
Ina Colada,Ballermann Party Mix - Alle Après Ski Hütten Hits der letzten Jahre,Wodka mit irgendwas,party
Ina Colada,Après Ski Megahits 2023,Wer nicht springt der muss bezahlen,party
Honk!;Dalora,Hallo Helmut (Andere Farbe) [Dalora Hardstyle Bootleg],Hallo Helmut (Andere Farbe) - Dalora Hardstyle Bootleg,party
Peter Wackel,Ballermann Stars - Karneval Schlager Hits 2019 - Party Schlager Hits der Stars zum Fasching und Apres Ski,Schwarze Natascha - Party-Remix XXL,party
Carina Crone,Es eskaliert eh,Es eskaliert eh,party
Andreas Gabalier,Best Of Volks-Rock'n'Roller,I sing a Liad für di - Best Of VRR,party
Micha von der Rampe,Ballermann Hits 2022,Partyanimal,party
Ina Colada,Ballermann Party Hits Megamix 2022.2,Wer nicht springt der muss bezahlen,party
Ina Colada,DJ Cashi präsentiert Mallora Closing 2022 powered by Xtreme Sound,Wer nicht springt der muss bezahlen,party
Ina Colada,Après Ski Fussball Party 2022 - Wir feiern auf den Hütten,Wer nicht springt der muss bezahlen,party
Die Flippers,Singles Vol. 1 (1970 - 1979),Rock 'n' Roll Lady,party
Jägermeister DJ Alex;Matty Valentino,Ballermann Einhorn - Mallorca Schlager Hits 2017 für deine Party,Auffe aufn Berg,party
Brings,Liebe gewinnt,Sag et op Kölsch,party
Michael Wendler,The Very Best Of,Prinzessin,party
Matthias Reim,Déjà Vu - Das Beste Von Matthias Reim,Im Himmel geht es weiter,party
Marry;DualXess;Balineiro,Ballermann Party Hits Megamix 2022.2,Hände nach oben,party
Marry;Harris & Ford,Ballermann Party Mix - Alle Après Ski Hütten Hits der letzten Jahre,Geboren um zu feiern - Radio Edit,party
Fäaschtbänkler;Morgen Freimann;Luke K,Konfetti (Morgen Freimann & Luke K Remix),Konfetti - Morgen Freimann & Luke K Remix,party
Mickie Krause,Ballermann Hits 2022,Kann ich so nicht sagen müsst ich nackt seh'n,party
Norman Langen,Dieses Gefühl,Yolanda,party
Wolfgang Petry,Genau jetzt!,Geh mir aus den Augen,party
Cooltime Kids,EVVIVA Canzoni per Bambini,Alphabet Song,party
DJ Ostkurve;Anny,Sebastian,Sebastian,party
DJ Robin;Schürze,Festzelt Musik 2022,Layla,party
Cooltime Kids,best of Canzoni per Bambini,Alphabet Song,party
Troglauer,Walkampf,Walkampf,party
Jörg & Dragan (Die Autohändler),Superhupen 2011,Superhupen 2011,party
Cupid,Feel Good Music,Do It With Your Boots On,party
Die Flippers,Ihre frühen Jahre Vol. 1,Mama Mia,party
NIC,Ist mir egal (Was andere an uns stört),Ist mir egal (Was andere an uns stört),party
Matthias Reim,Meteor,Ich geb uns nicht auf,party
Höhner,Alles op Anfang,Kumm loss mer danze,party
minnie rock;Franco Piccolini;Luigi Ferrari,7 Tage blau,7 Tage blau,party
voXXclub,Geiles Himmelblau,Geiles Himmelblau,party
Andreas Gabalier,Home Sweet Home (International Special Edition),Traditional Clothing,party
Andreas Gabalier,Herzwerk (Geschenkedition),I sing a Liad für di - Disco-Rock-Remix,party
Mia Julia,Geile Zeit,Was wäre wenn,party
Almklausi,"Saufen morgens, mittags, abends - Die Party",Schwarze Natascha - Party Version,party
Anstandslos & Durchgeknallt,Liebficken (2021 Mix),Liebficken - 2021 Mix,party
Peter Wackel,Eviva Espana 2011,Eviva Espana 2011,party
Michelle,Ich würd' es wieder tun (Deluxe),Der Deal,party
Andreas Lawo;Mick Wendir,Jetzt ist Schluss (Mick Wendir Remix),Jetzt ist Schluss - Mick Wendir Remix,party
Die Flippers,Ihre großen Sommerhits,Acapulco,party
Höhner,Best Of - 25 Jahre,Echte Fründe - Remake '97,party
Fäaschtbänkler,Orgasmusik,Orgasmusik,party
Stereoact,Millionen Schätze,Millionen Schätze,party
Michelle;BANGERZ,Anders! (Remixe),Anders ist gut (BANGERZ Remix),party
Micha von der Rampe;Johnny Dampf,Ticki Tacka (Pistenedition),Ticki Tacka - Pistenedition,party
Mike Der Bademeister;Die Spassrebellen,Zurück zu dir (Hallo Klaus),Zurück zu dir (Hallo Klaus) - Party Mix,party
Lorenz Büffel,Johnny Däpp (Ich will Mallorca zurück) [Krawall Mix],Johnny Däpp (Ich will Mallorca zurück) - Krawall Mix,party
Die Draufgänger;Summerfield,"Baby, du siehst gut aus (Summerfield Remix)","Baby, du siehst gut aus - Summerfield Remix",party
Mia Julia,Mitten in Mia,Weil sie für immer ist,party
Killermichel,Auswärts sind wir asozial - Die besten Mallorca Fußball Schlager Hits zur Europameisterschaft in Frankreich 2016 (Auf uns und jeder für jeden – Wir sind die Mannschaft und feiern mit Yaya Kolo die Fussball EM Party),Auswärts sind wir asozial,party
Ina Colada;Tom Juno,"Die 100 grössten Party Classics, Vol. 1",Die Gummibärenbande,party
Andy Bar,Mallorca 2015 - Die mega Mallorca Hits für die XXL Schlager 2016 Party bis 2017,Wir sind wieder da - L'amour Toujours,party
Chaos Team,Ballermann Party Hits Megamix 2022.2,Ein Leben für die Party,party
Chaos Team,Après Ski Megahits 2023,Ein Leben für die Party,party
Die Draufgänger,Mit Herz und Freud' a Musikant,Aber dich gibt's nur einmal für mich,party
Michelle,So Was Wie Liebe,Wirst du noch da sein,party
Höhner,Wir sind für die Liebe gemacht (Deluxe Edition),Wir halten die Welt an,party
Anna-Maria Zimmermann,Tausend Farben hat das Glück,Tausend Farben hat das Glück,party
Brings,Liebe gewinnt,Liebe gewinnt,party
Chaos Team;Andy Luxx;Alex Engel,DJ Cashi präsentiert Mallora Closing 2022 powered by Xtreme Sound,Wahre Liebe,party
Cooltime Kids,Halloween y diversión para peques,Ding Dong The Witch Is Dead,party
Wolfgang Petry,"Verlieben, Verloren, ...",20 Jahre danach,party
FiNCH,Kassenhäuschen EP,Weißer Ninja,party
Killermichel;Manni Manta,Alles wegen Schwänzen,Alles wegen Schwänzen,party
Die Draufgänger;Stefan Rauch;Habe & Dere,"Landjugend (Baby, i bin von der...) [DJ Robin Remix]","Landjugend (Baby, i bin von der...) - Habe & Dere Remix",party
Killermichel,"Saufen morgens, mittags, abends - Die Party",Auswärts sind wir asozial,party
Die Draufgänger,#Hektarparty,Finger Weg von meiner Musch - MuMu Remix,party
GABBY;Anstandslos & Durchgeknallt,Ballermann Hits Party 2023,Klempner Klaus,party
The Palace Singers,Nursey Rhymes For A Little Prince,Round and Round The Garden,party
The Jamborees,The Wheels On the Bus,Wee Willie Winkie,party
Dora The Explorer,Dora The Explorer,We Did It!,party
Pepe Palme,Pepe Palme hat ne Strandfigur,Pepe Palme hat ne Strandfigur,party
Melanie Müller,Gib mir ein M,Gib mir ein M,party
Rob & Chris;Jennifer Sturm,Superheld 2018 (feat. Jennifer Sturm),Superheld 2018,party
NIC,Küss Mich,Ich will dich für immer - Disco Fox,party
Matthias Reim,Meteor,Es ist Wahnsinn,party
Fränker;Andy Luxx,Dosenbier macht schlau,Dosenbier macht schlau,party
Sabbotage,Wer Mallorca liebt,Wer Mallorca liebt,party
voXXclub;Troglauer,Donnawedda - Volksmusik,Bobfahrer-Lied (feat. Troglauer),party
Harris & Ford,Ein Tag Unendlichkeit,Ein Tag Unendlichkeit,party
voXXclub,Geiles Himmelblau,"Ei, ei, ei, die Goass is weg",party
Michael Wendler,Maximal 2,180 Grad,party
Bierkapitän;Andy Luxx;Dj Aaron;Scotty,Lea (Scotty Remix),Lea - Scotty Remix,party
Markus Becker;Die Mallorca Cowboys,Das Rote Pferd (Après Ski Version),Das Rote Pferd - Après Ski Version,party
Max Weidner,Country Roads,Country Roads,party
Ina Colada;Alex Engel,Wa Wa Wahnsinnig,Wa Wa Wahnsinnig,party
DJ Düse,Mallorca Style,Ihr seid zuhause,party
Mia Julia,Mitten in Mia,Schrei es laut,party
Mr. Blaumann,Untenrum rasiert,Untenrum rasiert,party
Max Weidner,Pack ma's,Country Roads,party
Jack Gelee,Diese Insel,Diese Insel,party
Andreas Gabalier,Vergiss mein nicht,Loving Arms,party
Fäaschtbänkler,Oagasenn,John,party
Brings,Hay! Hay! Hay!,Su ne Daach,party
Mike Nüchtern;Killermichel,Wir fahren weit wir trinken viel,Wir fahren weit wir trinken viel,party
FiNCH;Blümchen,Rave Witchers,Herzalarm,party
DJ Ostkurve;Alina W.,Weil i no an Engerl glaub,Weil i no an Engerl glaub - Radio Mix,party
Tobee,Jetzt ist der Teufel los,3 Promille (Doch da geht noch was),party
Lorenz Büffel,Lass uns schmutzig Liebe machen,Lass uns schmutzig Liebe machen,party
voXXclub,Rock Mi - Die größten Hits,Hitmedley,party
Jürgen Milski,Malle ist der geilste Club der Welt,Malle ist der geilste Club der Welt,party
Paveier,Karneval der Stars 51,Hau op die Trumm,party
Marry;Mia Julia,Geile Zeit,Bis in alle Ewigkeit,party
Jörg Bausch,Erst wenn's im Sommer schneit,Erst wenn's im Sommer schneit,party
Sabbotage,Hömma Samma Womma Nomma (Bier Trinken Gehen),Hömma Samma Womma Nomma (Bier trinken gehen),party
Mia Julia,Mitten in Mia,Mitten in Mia,party
Brings,Rockmusik,Wenn et einmol läuf,party
Fäaschtbänkler,Flamingo + Hoch die Hände Wochenende,Heimat mein,party
Matthias Reim,Das ultimative Best Of Album,"Hallo, ich möcht' gern wissen wie's dir geht",party
Glitzer Gischi,Kann ich so nicht sagen (müsst ich nackt sehen),Kann Ich So Nicht Sagen - müsst ich nackt sehen,party
Norman Langen,Bis zum letzten Atemzug,Bis zum letzten Atemzug,party
DJ Ötzi;Nik P.,20 Jahre DJ Ötzi - Party ohne Ende,Geboren um dich zu lieben - Remastered 2019,party
Jägermeister DJ Alex & Matty Valentino,Auffe aufn Berg,Auffe aufn Berg - Apres Ski Hits 2017 Mix XXL,party
Wolfgang Petry,Alles-Live,"Bronze, Silber und Gold - Live",party
Anna-Maria Zimmermann,Das Beste von Anna!,Tausend Farben hat das Glück,party
Die jungen Zillertaler,Glanzlichter,Drobn aufm Berg,party
FiNCH;Paul Elstak,Liebe ist ...,Gabber Girl,party
Jürgen Drews;Giovanni Zarrella,Das ultimative Jubiläums-Best-Of,Wieder alles im Griff,party
Jörg & Dragan (Die Autohändler),"Malle, Du geile Sau","Malle, Du geile Sau",party
Schürze,Mallotze (Zeigt mir eure Hände),Mallotze (Zeigt mir eure Hände),party
Malin Brown,Zu Wyld,Zu Wyld,party
Balek,112,112,party
NIC,Sweet Caroline,Sweet Caroline,party
DJ Robin;Schürze,Layla (Platin Edition),Layla,party
Lorenz Büffel;Almklausi;Stubete Gäng,Hansi,Hansi,party
Die Heufresser,Kneipe,Kneipe,party
The Party Cats,Kids Dance Party,I Like To Move It From Madagascar,party
Anstandslos & Durchgeknallt;Le Boome De Tschaque;Bünger,Wenn der Mond (feat. Le Boome de Tschaque & Bünger),Wenn der Mond (feat. Le Boome de Tschaque & Bünger),party
NIC;Der Vollhorst,Weisser Stern von Alcunar,Weisser Stern von Alcunar,party
Cooltime Kids,Upbeat Kids Songs!,I See The Light,party
Andreas Gabalier,Herzwerk (Geschenkedition),Biker,party
Chaos Team;Andy Luxx,Eviva Mallorca,Eviva Mallorca,party
Cooltime Kids,Para pedir dulces,The Addams Family,party
Die Flippers,Ihre großen Sommerhits,Mitternacht in Trinidad,party
Matthias Reim,Männer Sind Krieger,Männer sind Krieger,party
Brings,Best Of,Su lang mer noch am Lääve sin - Radio Version,party
Jägermeister DJ Alex;Matty Valentino,Pistensau - Single,Pistensau,party
Balek,Ballermann Hits Party 2023,Monika die Domina,party
Cooltime Kids,Para pedir dulces,Somebody's Watching Me,party
Cooltime Kids,Oh Santa! Kids Christmas Songs,We Wish You A Merry Christmas,party
Cooltime Kids,Oh Santa! Kids Christmas Songs,Frosty The Snowman,party
Talstrasse 3-5,Utzenhausen,Zu wenig Alkohol,party
FiNCH,Mahlzeit,Mahlzeit,party
voXXclub,Rock Mi - Die größten Hits,Ziwui Ziwui - Remastered 2020,party
Cooltime Kids,Oh Santa! Kids Christmas Songs,Jingle Bell Rock,party
Cooltime Kids,Para pedir dulces,Werewolves Of London,party
voXXclub,Rock Mi - Die größten Hits,Donnawedda - Remastered 2020,party
Höhner,Da Simmer Dabei... Die Grössten Partyhits! (Gold Edition),"Der liebe Gott weiß, daß ich kein Engel bin",party
DJ Ötzi,Der hellste Stern (Böhmischer Traum) [Xtreme Sound Remix],Der hellste Stern (Böhmischer Traum) - Silverjam Mix,party
Cooltime Kids,Para pedir dulces,A Nightmare On My Street,party
Cooltime Kids,Oh Santa! Kids Christmas Songs,Rockin' Around The Christmas Tree,party
Cooltime Kids,Halloween y diversión para peques,Somebody's Watching Me,party
Cooltime Kids,Oh Santa! Kids Christmas Songs,Let It Snow! Let It Snow! Let It Snow!,party
Jörg Bausch,Am Zuckerwattenstand,Am Zuckerwattenstand,party
FiNCH,Kassenhäuschen EP,Maschinen,party
Cooltime Kids,Halloween y diversión para peques,The Addams Family,party
Cooltime Kids,Diversión para los peques,Alphabet Song,party
Andreas Gabalier,Herzwerk,Wo immer du auch bist,party
Michelle,Anders ist gut,Anders ist gut,party
Fäaschtbänkler;DualXess,Can You English Please (The Mixes),Can You English Please - DualXess Radio Edit,party
Cooltime Kids,Halloween y diversión para peques,A Nightmare On My Street,party
Mickie Krause,Finger Im Po Mexiko,Laudato Si - DJ Version,party
Cooltime Kids,Halloween y diversión para peques,Werewolves Of London,party
Brings,Karneval Hits 2022,"Polka, Polka, Polka - Club Mix",party
Jürgen Drews,Das ist der Moment,Das ist der Moment - Single Mix,party
Jürgen Drews,"Saufen morgens, mittags, abends - Die Party",Ein Bett im Kornfeld,party
DJ Ötzi,Der DJ aus den Bergen,Ich will mit dir fliegen - Single Mix,party
Andreas Gabalier,Home Sweet Home,I sing a Liad für di - Neuaufnahme,party
Cupid,Time for a Change,Cupid Shuffle,party
Ultimate Party Mixers,Ultimate Party Mix (Deluxe Edition),"Dollar Wine (Five Cent, Ten Cent)",party
Harris & Ford;DJ Gollum,Numb,Numb,party
DJ Ötzi;The Bellamy Brothers,Simply The Best,I Need More Of You,party
Tobee,Marie,Marie,party
Höhner,"2,3,4",Liebchen,party
Peter Wackel,Endlich wieder Alkohol,Endlich wieder Alkohol,party
Remmi Demmi Boys,Auf Malle saufen alle,Auf Malle saufen alle,party
Peter Wackel,Wackel Peter (Basic Version),Vogellisi,party
Micha von der Rampe,Partyanimal,Partyanimal,party
Finger & Kadel,O'zapft is,O'zapft is - Extended Mix,party
Wolfgang Petry,Sehnsucht nach Dir,Wenn Du mich brauchst,party
Fränker,Wir geh'n auf große Reise,Wir geh'n auf große Reise,party
Ole ohne Kohle,Nackt auf der Insel,Nackt auf der Insel,party
Peter Wackel,Wackel Peter (Basic Version),Ladioo - Party-Mix,party
Harris & Ford,Survivors,Survivors - Extended Mix,party
Mallorca Allstars;Isi Glück;Ikke Hüftgold;Almklausi;Lorenz Büffel;Carolina;Honk!;Sylaar,Eine Liebe (Sylaar 2k20 Remix),Eine Liebe - Sylaar 2k20 Remix,party
Mickie Krause,Wir woll'n feiern für die Ewigkeit - Best Of!,"Biste braun, kriegste Fraun - Version 2015",party
Ikke Hüftgold;Basti Trailerpark;Walter Wild,Ihr könnt Euch einfach mal,Ihr könnt Euch einfach mal - Walter Wild Mix,party
Talstrasse 3-5;Rosi Rosetta,Kackparty,Die Kontaktanzeige,party
Michelle,Glas,Hallo Tanja,party
Ikke Hüftgold,"Dicke Titten, Kartoffelsalat","Dicke Titten, Kartoffelsalat",party
Brings,Rockmusik,Wäm jehürt die Stadt,party
Brings,"Polka, Polka, Polka","Polka, Polka, Polka - Single Version",party
voXXclub,Rock Mi - Die größten Hits,Anneliese - Big H Remix,party
Michael Wendler,The Very Best Of,180 Grad - 2006,party
DJ Ötzi,Sei du selbst - Party 2.0,Das kann uns keiner nehmen,party
Nico Gemba,2 Millionen Gründe,2 Millionen Gründe,party
Matthias Reim,Verdammt Ich hab Nix,Verdammt Ich lieb' dich,party
Mickie Krause,10 Jahre Gute Unterhaltung!,Du bist zu blöd um aussem Busch zu winken - Version 2008,party
Anna-Maria Zimmermann,Sternstunden,Non Plus Ultra,party
Peter Wackel,Wackel Total!,Ladioo - Party-Mix,party
Brings,Arsch Huh 2012,Stell die Stadt op d'r Kopp,party
FiNCH,Kassenhäuschen EP,Maschinen,party
Höhner,Best Of - 25 Jahre,Hey Kölle du bes e Jeföhl,party
Höhner,Da Simmer Dabei! Die Grössten Partyhits,"Viva Colonia (Da simmer dabei, dat is prima!)",party
Höhner,Da Simmer Dabei... Die Grössten Partyhits! (Gold Edition),Dicke Mädchen haben schöne Namen,party
Höhner,Mach laut!,Das geht nie vorbei,party
DJ Herzbeat;voXXclub,Dancefieber,Dancefieber,party
Michael Wendler,The Very Best Of,Hitmix 2014 - Short Version,party
Andreas Gabalier,Hulapalu,Hulapalu - Harris & Ford Extended Mix,party
Fäaschtbänkler,Partyplanet,Niemals nie,party
Wolfgang Petry,Wo sind denn all die Helden,Wo sind denn all die Helden,party
Mia Julia,Ballermann Hits 2022,Freitag Samstag Dicht,party
Mountain Crew,Mountain Party #1,"Weiß der Geier / Verlieben, verloren, vergessen, verzeih'n / 7 Tage – 7 Nächte / Du bist ein Wunder / Augen zu und durch",party
Frenzy;Mia Julia,Wir sind wir (Partystyle Après Ski Version),Wir sind wir (Partystyle Après Ski Version),party
Andreas Gabalier,Best Of Volks-Rock'n'Roller,Verdammt lang her - Best Of VRR,party
Die Draufgänger,Grün,Vater du der Stadl brennt,party
Jürgen Drews,Musik Box Teil 1,Wir Ziehen Heut Abend Auf's Dach,party
Troglauer,Geboren in Troglau,Bring mir a Bier,party
Harris & Ford;Mike Candys,My Way,My Way,party
FiNCH;Leony;VIZE,Fliesentisch Romantik 2,Easy Peasy,party
Rob & Chris;Pimp! Code,Die ganze Nacht (Pimp! Code Radio Edit),Die ganze Nacht - Pimp! Code Radio Edit,party
DJ Ostkurve;Krümel,Jürgen,Jürgen,party
Franco Piccolini;Luigi Ferrari,Rack,Rack,party
Tim Toupet,Bello Donna,Bello Donna,party
DJ Ötzi,Wenn Gott so will (Xtreme Sound Remix),Wenn Gott so will,party
Axel Fischer,Mallorca Mallorca (Moviestar) [Oktoberfest Wiesn Mix],Mallorca Mallorca (Moviestar) - Oktoberfest Wiesn Mix,party
Carina Crone,Sailor Moon,Sailor Moon,party
Axel Fischer,Ich komm zurück (nach Amsterdam),Ich komm zurück (nach Amsterdam),party
Marry,Lasst uns leben,Lasst uns leben,party
Mickie Krause,Krause's Fussballhits,Düp Düp - Radio Version,party
Marco Kloss,Still Loving You,Still Loving You - Single Mix,party
Die Atzen;Jürgen Drews,"Atzen Musik Vol.1, 2 & 3",Sonnenstudio Marion,party
Wolfgang Petry,Auf das Leben,Ich heiß Freiheit,party
Andreas Gabalier,Best Of Volks-Rock'n'Roller,Sie - Best Of VRR,party
Talstrasse 3-5,Wieder auffer Tanze,Wieder auffer Tanze,party
Empyre One;AlexKea,Mirrors,Mirrors - AlexKea! Edit,party
DJ Düse,Voll wie Düse / Das was bleibt / Für immer und ewig (Hitmix),Voll wie Düse / Das was bleibt / Für immer und ewig - Hitmix,party
Die Flippers,Ein Mädchen wie Dich muss man lieben,Maria La Catalania,party
FiNCH;Blümchen,Gabber Girl,Herzalarm,party
Stereoact,Himmel auf Erden,Himmel auf Erden,party
Anstandslos & Durchgeknallt;Georg Stengel;LIZOT,Holterdiepolter (LIZOT Remix),Holterdiepolter - LIZOT Remix Edit,party
Willi Herren;Markus Becker,"Schlager Pur, Vol. 2",Ich glaub es geht schon wieder los,party
Jack Gelee,"Zicke Zacke, Prost ihr Säcke","Zicke Zacke, Prost ihr Säcke",party
Anna-Maria Zimmermann,Sternstunden,Tanz,party
Fäaschtbänkler,Mitten in die Scheibe,10'000 Meilen,party
DJ Ötzi,Sei du selbst - Party 2.0,Bambälä (Die Seele wieder baumeln lassen),party
Matthias Reim,Verdammt Ich hab Nix,Verdammt Ich lieb' dich,party
Mia Julia;Tom Tigo,Weck mich nicht auf (Tom Tigo RMX),Weck mich nicht auf - Tom Tigo RMX,party
Matty Valentino;DJ MOX;Ivan Fillini;Toby Tyrol;Xandl,Tiroler Bua (Wellerman - Hüttenstyle),Tiroler Bua (Wellerman - Hüttenstyle),party
Höhner,Da Simmer Dabei... Die Grössten Partyhits! (Gold Edition),Dat Hätz Vun Dr Welt - Remake '97,party
Brings,Hay! Hay! Hay!,Eifel - Radio Edit,party
Paveier,Dat Beste us 25 Johr,Heute brennt mein Iglu,party
Wolfgang Petry,Nie genug,Der Sommer von damals,party
Fäaschtbänkler,Partyplanet,Keine Panik,party
Fäaschtbänkler,Mitten in die Scheibe,Hau mich vom Hocker,party
Höhner,"Wenn Nicht Jetzt, Wann Dann - Die Größten Hits Und Schönsten Balladen",Alles was ich will,party
Wolfgang Petry,Alles-Live,Weiss' der Geier - Live,party
FiNCH;Scooter,Liebe ist ...,Rave Witchers,party
Die Partymacher,Die größten Party- & Schlager-Hits,"Resi, ich hol Dich mit dem Traktor ab (Resi, i hol Di mit mei'm Traktor ab)",party
Lorenz Büffel;Sven Florijan,Xtreme Mallorca Hits 2014,Computerliebe (Auf St. Pauli...) - Mallorca Version,party
Peter Wackel,"Saufen morgens, mittags, abends - Die Party",Ladioo - Arena-Hitmix,party
Axel Fischer,Norderney,Norderney - Fox Version,party
Stereoact;Kerstin Ott,Deutsch House - In the Mix,Die immer lacht - Mixed,party
Michelle,Tabu (Deluxe),Ich tanz dich einfach weg,party
Wolfgang Petry,Nie genug,Das darf doch nicht wahr sein,party
Jürgen Drews,Drews feat. Drews (Die ultimativen Hits),Das ist der Moment - Single Mix,party
Jürgen Drews,Drews feat. Drews (Die ultimativen Hits),König von Mallorca - Version 2017,party
Jürgen Drews,Drews feat. Drews (Die ultimativen Hits),Das kann doch nicht wahr sein - Remastered 2017,party
Mr. C,Mr. C Presents The Cha-cha Slide Greatest Hits,Cha Cha Slide,party
Harris & Ford;ItaloBrothers,Weekend Party,Weekend Party,party
Mickie Krause,Ich find Schlager toll - Das Beste,Der Krause Mega Mix (Medley),party
Höhner,Höhner 4.0,Carneval,party
Rob & Chris,Eskalation,Eskalation - Radio Edit,party
Schürze,Hey wir sind auf Mallorca,Hey wir sind auf Mallorca,party
Andi Latte,Lattenstramm,Lattenstramm,party
Ikke Hüftgold;Willi Herren,"Vor, zurück","Vor, zurück",party
Lorenz Büffel;Oli. P,Wir bleiben drin,Wir bleiben drin,party
Choo Choo Soul,Choo Choo Soul,The Bullet Train - Original Version,party
Matthias Reim,Die verdammte REIM-Box,1000 Mal,party
Andi Latte,Einer ist immer die Pussi,Einer ist immer die Pussi,party
DJ Mox,BULLE Oktoberfest Fete 2009 - Das geht ab auf der Wiesn,Ja Achmed - Party Version,party
Tobee,Mir fällt die Decke auf den Kopf,Mir fällt die Decke auf den Kopf,party
Micha von der Rampe,Micha from se Dorf,Du bist Bombe,party
Lorenz Büffel;Ikke Hüftgold,Berti Bums Birne,Berti Bums Birne,party
Marco Mzee,Das Kufsteiner-Lied,Das Kufsteiner-Lied,party
Ingo ohne Flamingo,Leichtigkeit (Party Remix),Leichtigkeit - Party Remix,party
Stereoact;Lena Marie Engel,Offline,Offline,party
Marco Kloss,Das ist unser letzter Tanz,Das ist unser letzter Tanz - Single Version,party
Höhner,"2,3,4",Dicke Mädchen haben schöne Namen,party
FiNCH;Blümchen,Bum Bum Eis,Herzalarm,party
Frenzy,20 Zentimeter,20 Zentimeter,party
Franco Piccolini;Luigi Ferrari,Viez auf Hawaii,Viez auf Hawaii,party
Matthias Reim,Das ultimative Best Of Album,Wie man liebt,party
Andreas Lawo,Irgendwo in Paris,Irgendwo in Paris,party
Matthias Reim,Reim,Ich liebe dich,party
Nancy Franck;Kevin Reumann,Geiler Tag zum Tanzen,Geiler Tag zum Tanzen,party
Mia Julia,Mitten in Mia,Mein bester Zeuge bin ich,party
Tobee,Jetzt ist der Teufel los,Jetzt ist der Teufel los - Single Party Version,party
Kreisligalegende,Hw4 (Halb Mensch Halb Tier),Hw4 (Halb Mensch Halb Tier),party
Markus Becker,Micky Maus - Wir geh'n noch nicht nach Haus,Micky Maus - Wir geh'n noch nicht nach Haus,party
Markus Becker;Jörg Lück,Düdeldü,Düdeldü (Original Mix),party
Andreas Gabalier,Best Of Volks-Rock'n'Roller,Hulapalu - Best Of VRR,party
Ingo ohne Flamingo,Jeder Tag ist ein Geschenk,Jeder Tag ist ein Geschenk,party
Die Draufgänger,Schachmatt,Schachmatt,party
Mia Julia;DJ Mico,Geile Zeit,Mallorca da bin ich daheim - Orchester Version,party
